TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE,COLUMN_KEY
addresses,id,bigint,NO,PRI
addresses,address_line1,varchar,NO,
addresses,address_line2,varchar,YES,
addresses,city,varchar,NO,
addresses,country,varchar,NO,
addresses,created_at,datetime,YES,
addresses,email,varchar,YES,
addresses,full_name,varchar,NO,
addresses,is_default,bit,NO,
addresses,mobile,varchar,NO,
addresses,state,varchar,NO,
addresses,updated_at,datetime,YES,
addresses,zip_code,varchar,NO,
addresses,user_id,bigint,NO,MUL
admin_activity_logs,id,bigint,NO,PRI
admin_activity_logs,admin_id,bigint,NO,MUL
admin_activity_logs,action_type,varchar,NO,MUL
admin_activity_logs,resource_type,varchar,NO,
admin_activity_logs,resource_id,varchar,YES,
admin_activity_logs,description,text,YES,
admin_activity_logs,ip_address,varchar,YES,
admin_activity_logs,user_agent,varchar,YES,
admin_activity_logs,created_at,timestamp,YES,MUL
cart_items,id,bigint,NO,PRI
cart_items,product_id,bigint,NO,MUL
cart_items,quantity,int,NO,
cart_items,color,varchar,YES,
cart_items,created_at,datetime,YES,
cart_items,size,varchar,YES,
cart_items,updated_at,datetime,YES,
cart_items,user_id,bigint,NO,MUL
carts,id,bigint,NO,PRI
carts,user_id,bigint,NO,MUL
carts,created_at,timestamp,YES,
carts,updated_at,timestamp,YES,
categories,id,bigint,NO,PRI
categories,description,varchar,YES,
categories,image,varchar,YES,
categories,item_count,varchar,YES,
categories,name,varchar,NO,UNI
categories,created_at,datetime,YES,
categories,updated_at,datetime,YES,
coupons,id,bigint,NO,PRI
coupons,code,varchar,NO,UNI
coupons,created_at,datetime,YES,
coupons,expires_at,datetime,NO,
coupons,is_active,bit,YES,
coupons,max_discount,decimal,YES,
coupons,min_purchase,decimal,YES,
coupons,type,enum,NO,
coupons,updated_at,datetime,YES,
coupons,usage_count,int,YES,
coupons,usage_limit,int,NO,
coupons,value,decimal,NO,
notifications,id,bigint,NO,PRI
notifications,created_at,datetime,YES,
notifications,is_read,bit,YES,
notifications,message,text,NO,
notifications,read_at,datetime,YES,
notifications,reference_id,bigint,YES,
notifications,reference_type,varchar,YES,
notifications,title,varchar,NO,
notifications,type,enum,NO,
notifications,user_id,bigint,NO,
order_items,id,bigint,NO,PRI
order_items,order_id,bigint,NO,MUL
order_items,product_id,bigint,NO,MUL
order_items,quantity,int,NO,
order_items,price,decimal,NO,
order_items,color,varchar,YES,
order_items,size,varchar,YES,
order_items,subtotal,decimal,NO,
order_items,discount,decimal,YES,
order_items,total,decimal,NO,
order_refunds,id,bigint,NO,PRI
order_refunds,order_id,bigint,NO,MUL
order_refunds,refund_amount,decimal,NO,
order_refunds,reason,varchar,YES,
order_refunds,status,enum,NO,MUL
order_refunds,processed_by,bigint,YES,MUL
order_refunds,created_at,timestamp,YES,
order_refunds,updated_at,timestamp,YES,
order_status_history,id,bigint,NO,PRI
order_status_history,order_id,bigint,NO,MUL
order_status_history,old_status,enum,YES,
order_status_history,new_status,enum,NO,
order_status_history,changed_by,bigint,NO,MUL
order_status_history,notes,varchar,YES,
order_status_history,created_at,timestamp,YES,
orders,id,bigint,NO,PRI
orders,user_id,bigint,NO,MUL
orders,order_number,varchar,NO,UNI
orders,status,enum,NO,
orders,payment_method,enum,NO,
orders,created_at,timestamp,YES,
orders,updated_at,timestamp,YES,
orders,coupon_code,varchar,YES,
orders,delivered_date,datetime,YES,
orders,discount,decimal,NO,
orders,notes,varchar,YES,
orders,order_date,datetime,YES,
orders,shipping,decimal,NO,
orders,subtotal,decimal,NO,
orders,total,decimal,NO,
orders,shipping_address_id,bigint,NO,MUL
product_features,product_id,bigint,NO,MUL
product_features,feature,varchar,YES,
product_images,product_id,bigint,NO,MUL
product_images,image_url,varchar,YES,
product_reviews,id,bigint,NO,PRI
product_reviews,product_id,bigint,NO,MUL
product_reviews,user_id,bigint,NO,MUL
product_reviews,rating,int,NO,
product_reviews,review_text,text,YES,
product_reviews,is_verified_purchase,bit,YES,
product_reviews,is_approved,bit,YES,
product_reviews,created_at,timestamp,YES,
product_reviews,updated_at,timestamp,YES,
product_sizes,product_id,bigint,NO,MUL
product_sizes,size,varchar,YES,
products,id,bigint,NO,PRI
products,name,varchar,NO,
products,description,text,YES,
products,price,decimal,NO,
products,category,varchar,YES,
products,image_url,varchar,YES,
products,stock_quantity,int,YES,
products,created_at,timestamp,YES,
products,updated_at,timestamp,YES,
products,badge,varchar,YES,
products,image,varchar,NO,
products,in_stock,bit,NO,
products,original_price,decimal,YES,
products,rating,double,NO,
products,reviews,int,NO,
products,stock_count,int,NO,
products,category_id,bigint,NO,MUL
products,sku,varchar,YES,UNI
products,meta_description,varchar,YES,
products,meta_keywords,varchar,YES,
products,discount_price,decimal,YES,
products,is_active,bit,YES,
products,thumbnail,varchar,YES,
users,id,bigint,NO,PRI
users,email,varchar,NO,UNI
users,password,varchar,NO,
users,full_name,varchar,NO,
users,mobile,varchar,YES,
users,role,enum,NO,
users,created_at,timestamp,YES,
users,updated_at,timestamp,YES,
users,active,bit,NO,
users,last_login,timestamp,YES,
users,profile_image,varchar,YES,
users,two_factor_enabled,bit,YES,
users,is_active,bit,YES,
